title,city,model_year,mileage,fuel_type,engine_size,transmission,feature_lst,price,update,image
Toyota Corolla 2009 XLi VVTi for Sale,Lahore,2009,"77,000 km",Petrol,1300 cc,Manual,FEATURED,PKR 21.75 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis 1.6 X CVT-i Special Edition for Sale,Karachi,2022,"9,000 km",Petrol,1600 cc,Automatic,FEATURED,PKR 67.5 lacs,Updated about 2 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2018 GLi Automatic 1.3 VVTi for Sale,Karachi,2018,"32,000 km",Petrol,1300 cc,Automatic,FEATURED,PKR 39.95 lacs,Updated 1 minute ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla Fielder 2017 Hybrid for Sale,Karachi,2017,"93,000 km",Petrol,1500 cc,Automatic,FEATURED,PKR 55 lacs,Updated 1 minute ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 9th Generation 2008 XLi for Sale,Bahawalpur,2008,"318,000 km",Petrol,1300 cc,Manual,FEATURED,PKR 14.85 lacs,Updated 2 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2017 GLi 1.3 VVTi for Sale,Chakwal,2017,"21,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 43 lacs,Updated 2 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla Indus 2001 XE Limited for Sale,Karachi,2001,"99,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 8.8 lacs,Updated 3 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2011 GLi Automatic 1.6 VVTi for Sale,Karachi,2011,83 km,Petrol,1600 cc,Automatic,Not Featured,PKR 24 lacs,Updated 3 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,Peshawar,2023,15 km,Petrol,1800 cc,Automatic,Not Featured,PKR 87 lacs,Updated 4 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2018 GLi 1.3 VVTi for Sale,Haripur,2018,"85,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 34 lacs,Updated 5 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla Fielder 2018 Hybrid for Sale,Karachi,2018,"86,000 km",Petrol,1500 cc,Automatic,Not Featured,PKR 60 lacs,Updated 5 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2009 XLi VVTi for Sale,Islamabad,2009,185 km,Petrol,1300 cc,Manual,Not Featured,PKR 17.9 lacs,Updated 6 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2015 GLi 1.3 VVTi for Sale,Wah cantt,2015,"200,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 27.3 lacs,Updated 9 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2021 Altis Grande X CVT-i 1.8 Black Interior for Sale,Lahore,2021,"31,000 km",Petrol,1800 cc,Automatic,Not Featured,PKR 69 lacs,Updated 12 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2018 GLi 1.3 VVTi for Sale,D.G.Khan,2018,"36,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 36.5 lacs,Updated 13 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2014 GLi Automatic 1.3 VVTi for Sale,Karachi,2014,"94,956 km",Petrol,1300 cc,Automatic,Not Featured,PKR 26 lacs,Updated 14 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2013 XLi VVTi for Sale,Lahore,2013,"190,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 20 lacs,Updated 16 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,Peshawar,2022,"2,000 km",Petrol,1800 cc,Automatic,Not Featured,PKR 78.5 lacs,Updated 20 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2021 Altis Automatic 1.6 for Sale,Mandi bahauddin,2021,"22,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 56 lacs,Updated 21 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla Fielder 2000 S for Sale,Quetta,2000,"160,000 km",Petrol,1800 cc,Automatic,Not Featured,PKR 23 lacs,Updated 21 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 1986 GL Saloon for Sale,Nowshera cantt,1986,"319,000 km",Petrol,1500 cc,Manual,Not Featured,PKR 12 lacs,Updated 23 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2016 XLi VVTi for Sale,Burewala,2016,"83,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 29.75 lacs,Updated 23 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2017 XLi VVTi for Sale,Sargodha,2017,"135,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 29.9 lacs,Updated 25 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla Axio 2007 X 1.5 for Sale,Karachi,2007,"93,000 km",Petrol,1500 cc,Automatic,Not Featured,PKR 23.75 lacs,Updated 26 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 1985 SE Saloon for Sale,Islamabad,1985,1 km,Petrol,1300 cc,Manual,Not Featured,PKR 3.2 lacs,Updated 31 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2019 GLi 1.3 VVTi for Sale,Karachi,2019,"59,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 39.5 lacs,Updated about 2 hours ago,https://cache3.pakwheels.com/ad_pictures/8016/tn_toyota-corolla-gli-vvti-2019-80164611.webp
Toyota Corolla 2012 GLi 1.3 VVTi for Sale,Lahore,2012,"75,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 27.75 lacs,Updated about 2 hours ago,https://cache3.pakwheels.com/ad_pictures/8086/tn_toyota-corolla-gli-vvti-2012-80864973.webp
Toyota Corolla 2023 Altis Grande X CVT-i 1.8 Beige Interior for Sale,Lahore,2023,19 km,Petrol,1800 cc,Automatic,Not Featured,Call,Updated about 2 hours ago,https://cache2.pakwheels.com/ad_pictures/7918/tn_toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2023-79189032.webp
Toyota Corolla 2018 Altis Automatic 1.6 for Sale,Lahore,2018,"45,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 48.5 lacs,Updated about 3 hours ago,https://cache2.pakwheels.com/ad_pictures/8088/tn_toyota-corolla-altis-1-6-automatic-2018-80882290.webp
Toyota Corolla 2021 Altis Grande X CVT-i 1.8 Black Interior for Sale,Lahore,2021,"10,300 km",Petrol,1798 cc,Automatic,FEATURED,PKR 80 lacs,Updated about 4 hours ago,https://cache2.pakwheels.com/ad_pictures/8088/tn_toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2021-80880419.webp
Toyota Corolla 2017 GLi 1.3 VVTi for Sale,Lahore,2017,"95,000 km",Petrol,1300 cc,Manual,FEATURED,PKR 35.5 lacs,Updated about 4 hours ago,https://cache3.pakwheels.com/ad_pictures/8087/tn_toyota-corolla-gli-vvti-2017-80879705.webp
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Beige Interior for Sale,Lahore,2022,"1,800 km",Petrol,1799 cc,Automatic,FEATURED,PKR 75 lacs,Updated about 4 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Beige Interior for Sale,Karachi,2022,"1,800 km",Petrol,1800 cc,Automatic,Not Featured,PKR 80 lacs,Updated about 4 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2016 Altis Grande CVT-i 1.8 for Sale,Lahore,2016,"73,118 km",Petrol,1800 cc,Automatic,FEATURED,PKR 39 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2013 XLi VVTi for Sale,Lahore,2013,"82,000 km",Petrol,1300 cc,Manual,FEATURED,PKR 24.3 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2015 Altis Grande CVT-i 1.8 for Sale,Lahore,2015,"106,000 km",Petrol,1800 cc,Automatic,FEATURED,PKR 40.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2023 Altis 1.6 X CVT-i Special Edition for Sale,Lahore,2023,15 km,Petrol,1600 cc,Automatic,Not Featured,PKR 75.5 lacs,Updated about 5 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2017 Altis Automatic 1.6 for Sale,Karachi,2017,"46,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 38.9 lacs,Updated 34 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2012 GLi 1.3 VVTi for Sale,Bahawalnagar,2012,"91,600 km",Petrol,0.0 kWh,Manual,FEATURED,PKR 24.5 lacs,Updated 36 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2016 Altis CVT-i 1.8 for Sale,Faisalabad,2016,"96,000 km",Petrol,1800 cc,Automatic,FEATURED,PKR 36.5 lacs,Updated 37 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Beige Interior for Sale,Chichawatni,2022,"11,970 km",Petrol,0.0 kWh,Automatic,FEATURED,PKR 78 lacs,Updated 38 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2019 Altis Automatic 1.6 for Sale,Sialkot,2019,"40,000 km",Petrol,1600 cc,Automatic,FEATURED,PKR 49.5 lacs,Updated 39 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis 1.6 X CVT-i for Sale,Karachi,2022,"11,000 km",Petrol,1600 cc,Automatic,FEATURED,PKR 62 lacs,Updated 43 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2003 X 1.3 for Sale,Rawalpindi,2003,"160,000 km",Petrol,1300 cc,Automatic,FEATURED,PKR 22.3 lacs,Updated 44 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 1995 SE Limited for Sale,Bahawalpur,1995,"137,000 km",Petrol,1500 cc,Automatic,Not Featured,PKR 14.5 lacs,Updated 44 minutes ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2014 Altis CVT-i 1.8 for Sale,Lahore,2014,"150,000 km",Petrol,1800 cc,Automatic,Not Featured,PKR 28.5 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2017 GLi 1.3 VVTi for Sale,Rahim Yar Khan,2017,"98,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 32 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2017 GLi 1.3 VVTi for Sale,Karachi,2017,"75,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 31.5 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla Indus 1998 GLi 1.6 for Sale,Lahore,1998,"136,000 km",Petrol,1600 cc,Manual,Not Featured,PKR 11.15 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis X Automatic 1.6 for Sale,Lahore,2022,"7,681 km",Petrol,1600 cc,Automatic,FEATURED,PKR 65.5 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2017 Altis Grande CVT-i 1.8 for Sale,Karachi,2017,"78,000 km",Petrol,1798 cc,Automatic,Not Featured,PKR 52 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2011 GLi 1.3 VVTi Ecotec for Sale,Islamabad,2011,"200,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 19.75 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2009 XLi VVTi for Sale,Lahore,2009,"92,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 22.75 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2012 GLi Limited Edition 1.3 VVTi for Sale,Mardan,2012,"76,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 28.5 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,Islamabad,2021,"28,000 km",Petrol,1800 cc,Automatic,Not Featured,PKR 68.4 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2004 for Sale,Karachi,2004,"87,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 15.3 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,Multan,2022,"2,200 km",Petrol,1800 cc,Automatic,Not Featured,PKR 78.25 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 1991 for Sale,Islamabad,1991,"172,000 km",Petrol,1600 cc,Automatic,Not Featured,PKR 14.5 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2009 GLi 1.3 VVTi for Sale,Peshawar,2009,123 km,Petrol,1300 cc,Manual,Not Featured,PKR 20.3 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2018 GLi Automatic 1.3 VVTi for Sale,Lahore,2018,"55,000 km",Petrol,1300 cc,Automatic,Not Featured,PKR 39.65 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2003 for Sale,Islamabad,2003,"200,000 km",Petrol,1300 cc,Automatic,FEATURED,PKR 13.2 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2012 GLi 1.3 VVTi for Sale,Quetta,2012,"84,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 24 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,Lahore,2023,10 km,Petrol,1798 cc,,Not Featured,PKR 81.25 lacs,Updated about 5 hours ago,https://cache3.pakwheels.com/ad_pictures/8087/tn_toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2023-80870067.webp
Toyota Corolla 2019 XLi Automatic for Sale,Islamabad,2019,"35,000 km",Petrol,1300 cc,,Not Featured,PKR 42.75 lacs,Updated about 6 hours ago,https://cache2.pakwheels.com/ad_pictures/8086/tn_toyota-corolla-xli-automatic-2019-80869050.webp
Toyota Corolla 2016 Altis Grande CVT-i 1.8 for Sale,Lahore,2016,"50,000 km",Petrol,1800 cc,,FEATURED,PKR 46 lacs,Updated about 6 hours ago,https://cache3.pakwheels.com/ad_pictures/8085/tn_toyota-corolla-altis-1-8-grande-automatic-2016-80858267.webp
Toyota Corolla 9th Generation 2005 Altis Automatic 1.8 for Sale,Karachi,2005,"94,592 km",Petrol,1800 cc,,FEATURED,PKR 15 lacs,Updated about 7 hours ago,https://cache1.pakwheels.com/ad_pictures/8086/tn_toyota-corolla-altis-1-8-automatic-2005-80866423.webp
Toyota Corolla 2023 Altis Grande X CVT-i 1.8 Beige Interior for Sale,Karachi,2023,60 km,Petrol,1800 cc,,Not Featured,Call,Updated about 7 hours ago,https://cache3.pakwheels.com/ad_pictures/7972/tn_toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2023-79729032.webp
Toyota Corolla 2023 Altis 1.6 X CVT-i for Sale,Karachi,2023,42 km,Petrol,1600 cc,,Not Featured,PKR 69 lacs,Updated about 7 hours ago,https://cache3.pakwheels.com/ad_pictures/8085/tn_toyota-corolla-altis-1-6-x-cvt-i-2023-80850488.webp
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,Lahore,2022,"8,400 km",Petrol,1800 cc,,Not Featured,PKR 74 lacs,Updated about 7 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis X Automatic 1.6 for Sale,Lahore,2022,215 km,Petrol,1600 cc,,Not Featured,PKR 64.25 lacs,Updated about 7 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2023 Altis 1.6 X CVT-i for Sale,Gujrat,2023,1 km,Petrol,1598 cc,,FEATURED,PKR 70 lacs,Updated about 7 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2013 GLi 1.3 VVTi for Sale,Peshawar,2013,"122,000 km",Petrol,1300 cc,,FEATURED,PKR 26.5 lacs,Updated about 7 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla Fielder 2018 Hybrid G WB for Sale,Peshawar,2018,"80,000 km",Hybrid,1500 cc,,FEATURED,PKR 65.5 lacs,Updated about 7 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2018 Altis Grande CVT-i 1.8 for Sale,Peshawar,2018,"42,000 km",Petrol,1800 cc,,Not Featured,PKR 52.5 lacs,Updated about 7 hours ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis 1.6 X CVT-i for Sale,Karachi,2022,"1,900 km",Petrol,1600 cc,,FEATURED,PKR 67 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2023 Altis X Automatic 1.6 for Sale,Lahore,2023,30 km,Petrol,1600 cc,,FEATURED,Call,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis X Automatic 1.6 for Sale,Lahore,2022,"7,500 km",Petrol,1600 cc,,FEATURED,PKR 64 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2009 XLi VVTi for Sale,Swabi,2009,"165,000 km",Petrol,1300 cc,,Not Featured,PKR 18.25 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2012 GLi 1.3 VVTi for Sale,Minchanabad,2012,"142,000 km",Petrol,1300 cc,,Not Featured,PKR 24.25 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2018 Altis Grande CVT-i 1.8 for Sale,Lahore,2018,"56,500 km",Petrol,1800 cc,,FEATURED,PKR 42.45 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2011 GLi 1.3 VVTi for Sale,Islamabad,2011,"200,000 km",Petrol,1300 cc,,FEATURED,PKR 21.5 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2018 Altis Automatic 1.6 for Sale,Gharo,2018,"25,000 km",Petrol,1600 cc,,FEATURED,PKR 48 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2014 GLi 1.3 VVTi for Sale,Multan,2014,"73,500 km",Petrol,,,FEATURED,PKR 26.5 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2012 XLi VVTi for Sale,Islamabad,2012,"265,000 km",Petrol,,,FEATURED,PKR 22.45 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2015 GLi Automatic 1.3 VVTi for Sale,Gujranwala,2015,"100,000 km",Petrol,,,FEATURED,PKR 31 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 9th Generation 2006 XLi for Sale,Rawalpindi,2006,"145,000 km",Petrol,,,Not Featured,PKR 17.3 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis X Automatic 1.6 for Sale,Islamabad,2022,"19,000 km",Petrol,,,FEATURED,PKR 60.7 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,Multan,2022,"16,000 km",Petrol,,,Not Featured,PKR 76 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2017 Altis Automatic 1.6 for Sale,Okara,2017,"85,000 km",Petrol,,,Not Featured,PKR 42 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2021 Altis Grande X CVT-i 1.8 Black Interior for Sale,Multan,2021,"31,000 km",Petrol,,,Not Featured,PKR 70 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 9th Generation 2006 GLi 1.3 for Sale,Peshawar,2006,"200,000 km",Petrol,,,Not Featured,PKR 17 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2012 Altis SR 1.6 for Sale,Lahore,2012,"100,000 km",Petrol,,,Not Featured,PKR 27 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
